Horizon,Climatology_MAE,Seasonal_Naive_MAE,Persistence_MAE,Climatology_RMSE,Seasonal_Naive_RMSE,Persistence_RMSE
1,4.392965431206402,5.980697384806975,3.1740971357409715,5.685172665735622,7.646691631131658,4.22808171265253
2,4.387343187445992,5.995202492211837,4.447227414330218,5.677074263363795,7.6539294165819625,5.848151184275531
3,4.3822126865237845,6.000997506234414,4.99569825436409,5.670099259906541,7.660589951432594,6.436939937625525
4,4.377512465700239,5.984965689332501,5.28764815970056,5.664052748745314,7.6467399958376125,6.753571177026941
5,4.371505919174458,5.983270911360799,5.445443196004994,5.655013030532162,7.646786633464271,6.9114020395509925
6,4.367128346356954,5.9916302311055585,5.678825733916303,5.649624516746248,7.652523231269657,7.214413188296595
7,4.3698464379370625,6.002625,5.857562499999999,5.651389730353618,7.664496069540385,7.4376722669125455
8,4.372323932061268,5.990181363352095,5.915009380863038,5.653147395163737,7.652658573301484,7.534572805879869
9,4.374032728848123,5.986045056320401,5.993617021276595,5.65476681575375,7.649098288738908,7.585934880422618
10,4.376004571508641,5.984783969943645,5.867877269881027,5.6564539132866845,7.6493646934173025,7.528090579760716
11,4.374819946135736,5.983208020050125,5.935588972431077,5.6560509369442515,7.644465785315358,7.594915691494031
12,4.37032140064742,5.98526645768025,6.130470219435737,5.650427529711251,7.642170989284857,7.774168705370442
13,4.363307800522355,5.971957340025095,6.192597239648682,5.638764540356834,7.627034150786579,7.837200163259596
14,4.356750973445888,5.979786566227244,6.2286252354048965,5.6283184610318955,7.63507286982633,7.86295676828936
15,4.351238044827869,5.9707286432160815,6.237374371859296,5.62045571284551,7.6243724513157085,7.911271060897545
16,4.346063880598765,5.949088623507228,6.388623507228158,5.613363970838706,7.604477823406918,8.023795926399822
17,4.3453014469806925,5.961006289308176,6.468427672955975,5.613398411544976,7.610993373127201,8.124488179331706
18,4.345597420200944,5.967337948395216,6.44078036500944,5.614322953672776,7.617587133200831,8.12764746042987
19,4.34684149918092,5.973614609571787,6.50522670025189,5.615775493712953,7.625024672710629,8.215405676423508
20,4.348262529321131,5.980088216761185,6.541839949590423,5.617299139497504,7.63958285595362,8.303243344109939
21,4.344641215237054,5.979760403530896,6.686822194199243,5.613353012210586,7.637008766551097,8.464150720236509
22,4.346704080357077,5.960630914826499,6.8712933753943215,5.615058583476233,7.611315667016137,8.676316798395497
23,4.345076368286596,5.955555555555557,6.870202020202021,5.614135060530258,7.603368472013711,8.702607585538876
24,4.343674877449357,5.946620341124447,6.9458622867972215,5.613484489410217,7.590681107220207,8.736008577278687
25,4.34372882279962,5.922081218274112,7.058091024020228,5.61423764852565,7.567541896503115,8.912796734944221
26,4.346144211049334,5.920501285347044,7.209297912713473,5.615997380240261,7.577470072473318,9.108799465570906
27,4.347571095571096,5.917192530585964,7.362974683544304,5.617527855379151,7.579842451559931,9.21422160287213
28,4.324213179276752,5.9323225806451605,7.450540368722187,5.589867826675641,7.58996578682416,9.270737137320546
29,4.404182965533677,6.0034599728629585,7.658700067704808,5.688099809216937,7.6902337226040665,9.540827353770123
30,4.4418533086100656,5.929875821767713,7.797370343316289,5.744689099984051,7.607969371304768,9.756060467780328
