model,origin_date,forecast_date,horizon,actual,predicted,error
ridge,2023-06-08,2023-06-09,1,17.2,17.228958129882812,0.028957366943359375
ridge,2023-06-08,2023-06-11,3,9.2,9.255939483642578,0.055939674377441406
ridge,2023-06-08,2023-06-15,7,12.9,12.784248352050781,0.11575126647949219
ridge,2023-06-08,2023-06-22,14,21.8,21.781631469726562,0.018367767333984375
ridge,2023-06-08,2023-07-08,30,19.1,19.04572868347168,0.054271697998046875
ridge,2023-06-22,2023-06-23,1,23.2,23.05559730529785,0.14440345764160156
ridge,2023-06-22,2023-06-25,3,19.4,19.234092712402344,0.1659069061279297
ridge,2023-06-22,2023-06-29,7,16.3,16.257680892944336,0.04231834411621094
ridge,2023-06-22,2023-07-06,14,18.6,18.554121017456055,0.045879364013671875
ridge,2023-06-22,2023-07-22,30,16.4,16.34642791748047,0.05357170104980469
ridge,2023-07-06,2023-07-07,1,19.8,19.80791473388672,0.007915496826171875
ridge,2023-07-06,2023-07-09,3,19.6,19.571638107299805,0.028362274169921875
ridge,2023-07-06,2023-07-13,7,17.0,16.97318458557129,0.026815414428710938
ridge,2023-07-06,2023-07-20,14,18.4,18.28890609741211,0.11109352111816406
ridge,2023-07-06,2023-08-05,30,16.4,16.405723571777344,0.0057239532470703125
ridge,2023-07-20,2023-07-21,1,17.4,17.34942054748535,0.050579071044921875
ridge,2023-07-20,2023-07-23,3,17.7,17.670326232910156,0.029674530029296875
ridge,2023-07-20,2023-07-27,7,21.6,21.44488525390625,0.15511512756347656
ridge,2023-07-20,2023-08-03,14,19.6,19.550973892211914,0.0490264892578125
ridge,2023-07-20,2023-08-19,30,16.7,16.710994720458984,0.01099395751953125
ridge,2023-08-03,2023-08-04,1,17.1,17.078763961791992,0.021236419677734375
ridge,2023-08-03,2023-08-06,3,16.2,16.19575309753418,0.0042476654052734375
ridge,2023-08-03,2023-08-10,7,17.6,17.59943389892578,0.0005664825439453125
ridge,2023-08-03,2023-08-17,14,20.1,20.115612030029297,0.015611648559570312
ridge,2023-08-03,2023-09-04,30,23.7,23.69287872314453,0.007122039794921875
ridge,2023-08-17,2023-08-18,1,13.8,13.802165985107422,0.0021657943725585938
ridge,2023-08-17,2023-08-20,3,19.1,19.061525344848633,0.03847503662109375
